id;first_name;last_name;email;phone_number;enrollment_date
1;Devon;Romaguera;Rebecca43@gmail.com;issue celsius blissfully;2025-09-06T13:20:08
2;Anissa;McCullough;Norberto42@hotmail.com;hunger circa;2025-09-06T17:17:16
3;Wyatt;Huels;Hallie73@yahoo.com;fray;2025-09-06T08:34:38
4;William;Spencer;Harry_Conn@yahoo.com;fake regarding mmm;2025-09-06T19:05:18
5;Dedric;Greenholt;Shemar.Spinka@yahoo.com;tightly;2025-09-06T13:18:18
6;Porter;Koepp;Kelton61@yahoo.com;acquaintance;2025-09-06T17:32:28
7;Roxanne;Anderson;Allison4@yahoo.com;mockingly;2025-09-06T08:21:51
8;Dejah;Jones;Esperanza_Heller14@gmail.com;charlatan gee instead;2025-09-06T23:17:51
9;Helene;Nikolaus;Bulah.Terry@hotmail.com;phooey after;2025-09-07T05:12:39
10;Bulah;Wiegand;Bridgette45@gmail.com;stiffen;2025-09-06T08:41:51
