id;first_name;last_name;email;phone_number;hire_date;salary
1;Elinor;Lynch;Telly_Lemke12@hotmail.com;partially vet;2025-09-07T00:24:48;28667
2;Oda;Rice;Lina.Botsford@yahoo.com;pfft;2025-09-06T22:25:55;18910
3;Patsy;Macejkovic;Estell.Bergstrom31@hotmail.com;cafe strictly scoop;2025-09-06T22:01:22;29365
4;Kaley;Witting;Rachelle53@yahoo.com;um or;2025-09-06T19:35:47;30083
5;Sylvia;Windler;Jadyn_Lesch@yahoo.com;meanwhile;2025-09-06T12:06:53;26459
6;Cristobal;Veum;Cleve23@gmail.com;formamide encouragement;2025-09-06T14:56:35;10104
7;Brisa;Hilll;Peter62@yahoo.com;ectoderm;2025-09-06T23:14:57;4130
8;Roman;Hagenes;Paul.Hegmann17@gmail.com;whether;2025-09-06T20:31:19;20371
9;Kobe;Cormier;Evans.Bauch@yahoo.com;swim provided;2025-09-07T04:59:45;9291
10;Darrel;Doyle;Monty.Adams14@hotmail.com;and indeed;2025-09-06T22:59:04;24561
